Component ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Condition-B,Allomorph-C,Condition-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occufs in what component(s)-B,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Public Comments,Private Comments,Speaker,1st check done,2nd check done
49,Fisher et al.,LF2019,,chy,,chey1247,-a'hasené,CH:1,,,,,,"fling, throw, shake, jerk",,final,AI,,,,,,,-a'ham,-a'hahtsé,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
50,Fisher et al.,LF2019,,chy,,chey1247,-a'hasó'he,CH:1,,,,,,ride horse,,final,AI,,,,,,,,,,,,,,,-hestóxa'haso'he,,,V,AI,ride horse last,,LF2019,-a'hasó'heohe,,,V,AI,ride horse quickly,,LF2019,-hóxova'haso'he,,,V,AI,ride horse across,,LF2019,-no'ka'haso'he,,,V,AI,ride horse alone,,LF2019,,,,,,,"Stem B listed as a final, but I think that's a typo and it is a verb.",,,MAM
51,Fisher et al.,LF2019,,chy,,chey1247,-a'ó,CH:1,,,,,,"jump, tip, fall, leap, fly, lurch",,final,AI,,,,,,,,,,,,,,,-a'kema'a'ó,,,V,AI,fall into ball shape,,LF2019,-hánȯhtá'o,,,V,AI,fall backwards,,LF2019,-hóa'ó,,,V,AI,"go out, dash outside, out (in baseball)",,LF2019,-po'a'ó,,,V,AI,bucked off,,LF2019,,,,,,,"""This is quick movement.""",,,MAM
52,Fisher et al.,LF2019,,chy,,chey1247,-a'oná,CH:1,,,,,,shin,,medial,Dep,,,,,,,,,,,,,,,-kóea'oná'ov,,,V,TA,kick s.o. in the shin(s),,LF2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Body part medial,,,MAM
53,Fisher et al.,LF2019,,chy,,chey1247,-a'ónétó,CH:1,,,,,,ordinal number suffix,,final,II,,,,,,,,,,,,,,,-na'ha'ónétó,,,V,II,be the third one,,LF2019,,,,,,,,,-néva'ónéto,,,V,II,be the fourth one,,LF2019,,,,,,,,,,,,,,,,,,MAM
54,Fisher et al.,LF2019,,chy,,chey1247,-a'ov,CH:1,,,,,,by foot (or body),,final,TA,,,,,,,,-a',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
55,Fisher et al.,LF2019,,chy,,chey1247,-a'ovo'hamé,CH:1,,,,,,livestock - do to,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
56,Fisher et al.,LF2019,,chy,,chey1247,-a'xané,CH:1,,,,,,cry,,final,AI,,,,,,,,,,,,,,,-áhana'xané,,,V,AI,collapse from crying,,LF2019,-ama'xané,,,V,AI,continually cry,,LF2019,-ho'a'xanéohtsé,,,V,AI,arrive crying,,LF2019,-mȧha'xane,,,V,AI,all cry,,LF2019,,,,,,,,,,MAM
57,Fisher et al.,LF2019,,chy,,chey1247,-a'xe,CH:1,,,,,,hurried motion,,final,AI,,,,,,,,,,,,,,,-anȧha'xe,,,V,AI,"slide down (especially into a ditch), ski down; go back to drinking",,LF2019,-némonea'xe,,,V,AI,"swing crooked, swing on a slant",,LF2019,-ka'a'xe,,,V,AI,"jump, a single jump",,LF2019,-pó'po'a'xe,,,V,AI,jerk away,,LF2019,,,,,,,"""May sometimes mean something like 'jerk', 'flap'""",,,MAM
262,Fisher et al.,LF2019,,chy,,chey1247,-a'xe,CH:1,,,,,,by wind,,final,AI,,,,,,,,-a'há,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
