ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Project Definition,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
131,Costa,DJC2019,0008,mia,,miam1252,-e(h)tam,MY:Standard,,,,,,taste,,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Costa,DJC2019,0001,mia,,miam1252,-ec,MY:Standard,,,,,,"belly, body",,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Costa,DJC2019,0001,mia,,miam1252,-ecii,MY:Standard,,,,,,"belly, body",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Costa,DJC2019,0002,mia,,miam1252,-ecii,MY:Standard,,,,,,body,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Costa,DJC2019,0002,mia,,miam1252,-eek-,MY:Standard,,,,,,"cloth, sheet, hide",,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Costa,DJC2019,0002,mia,,miam1252,-eeki,MY:Standard,,,,,,"cloth, sheet, hide",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Costa,DJC2019,0002,mia,,miam1252,-eekin,MY:Standard,,,,,,"cloth, sheet, hide",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Costa,DJC2019,0002,mia,,miam1252,-eekin,MY:Standard,,,,,,"cloth, sheet, hide",,final,II,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Costa,DJC2019,0002,mia,,miam1252,-eeli,MY:Standard,,,,,,"bloat, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Costa,DJC2019,0003,mia,,miam1252,-eeli,MY:Standard,,,,,,dance2,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Costa,DJC2019,0006,mia,,miam1252,-eeli,MY:Standard,,,,,,"mind, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Costa,DJC2019,0006,mia,,miam1252,-eelim,MY:Standard,,,,,,"mind, by",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Costa,DJC2019,0006,mia,,miam1252,-eelintam,MY:Standard,,,,,,"mind, by",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,Costa,DJC2019,0006,mia,,miam1252,-eelisi,MY:Standard,,,,,,"mind, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Costa,DJC2019,0002,mia,,miam1252,-ehkaa,MY:Standard,,,,,,"body, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Costa,DJC2019,0002,mia,,miam1252,-ehkam,MY:Standard,,,,,,"body, by",,final,TI,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,Costa,DJC2019,0002,mia,,miam1252,-ehkaw ,MY:Standard,,,,,,"body, by",,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,Costa,DJC2019,0002,mia,,miam1252,-ehkawee,MY:Standard,,,,,,"body, by",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,"Costa writes ""'path'?""",,,
149,Costa,DJC2019,0004,mia,,miam1252,-ehkii,MY:Standard,,,,,,"gather, make",,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Costa,DJC2019,0004,mia,,miam1252,-ehkwee,MY:Standard,,,,,,hair of the head,,final,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,
