ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Formative/component occurs in what component(s)-A,Contains component (enter)-A,Contains formative (enter)-A,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
201,Costa,DJC2019,0007,mia,,miam1252,-ihpal,MY:Standard,,,,,,saw,saw (V),final,TA
202,Costa,DJC2019,0008,mia,,miam1252,-ihpehkošikan,MY:Standard,,,,,,"spine, backbone","backbone, spine",final,AI
203,Costa,DJC2019,0008,mia,,miam1252,-ihpehkošikanee-,MY:Standard,,,,,,"spine, backbone",,medial
204,Costa,DJC2019,0009,mia,,miam1252,-ihpenal,MY:Standard,,,,,,"treat, do to","do, treat",final,TA
205,Costa,DJC2019,0009,mia,,miam1252,-ihpenatoo,MY:Standard,,,,,,"treat, do to","do, treat",final,II
206,Costa,DJC2019,0007,mia,,miam1252,-ihpin,MY:Standard,,,,,,"potato, tuber","potato, tuber",final,N
207,Costa,DJC2019,0007,mia,,miam1252,-ihpotoo,MY:Standard,,,,,,saw,saw (V),final,TI
208,Costa,DJC2019,0008,mia,,miam1252,-ihpw,MY:Standard,,,,,,taste,taste,final,TA
209,Costa,DJC2019,0004,mia,,miam1252,-ihsaa,MY:Standard,,,,,,go fast,go (fast),final,AI
210,Costa,DJC2019,0004,mia,,miam1252,-ihsaa,MY:Standard,,,,,,go fast,go (fast),final,II
211,Costa,DJC2019,0006,mia,,miam1252,-ihsen,MY:Standard,,,,,,"lie, put/be in position","lie (position), place (V), put",final,II
212,Costa,DJC2019,0006,mia,,miam1252,-ihsetoo,MY:Standard,,,,,,"lie, put/be in position","lie (position), place (V), put",final,TI
213,Costa,DJC2019,0006,mia,,miam1252,-ihšim,MY:Standard,,,,,,"lie, put/be in position","lie (position), place (V), put",final,TA
214,Costa,DJC2019,0006,mia,,miam1252,-ihšin,MY:Standard,,,,,,"lie, put/be in position","lie (position), place (V), put",final,AI
215,Costa,DJC2019,0006,mia,,miam1252,-ihtaankan,MY:Standard,,,,,,"nape, buffalo hump","buffalo hump, nape",final,AI
216,Costa,DJC2019,0006,mia,,miam1252,-ihtaankanee-,MY:Standard,,,,,,"nape, buffalo hump",,medial
217,Costa,DJC2019,0003,mia,,miam1252,-ihtam,MY:Standard,,,,,,eat,eat,final,TI
