ID,Author Surname,Source Code,Page #,ISO code,Dialect,Glottocode,Form (original orthography),Orthography Key Code,Form (project orthography),UR (if given; if different),UR (project orthography),PA form (original orthography),PA form (project orthography),Translation,Tags,Component Type,Subcategory,Initial: Reduplicated,Final: concrete / abstract,Final: secondary (y/n/b),Base Category (if secondary)-A,Base Category (if secondary)-B,Match AI,Match II,Match TA,Match TI,Allomorph-A,Condition-A,Allomorph-B,Allomorph-C,Component occurs in stem (orig. orth)-A,Component occurs in stem (proj. orth)-A,Stem UR-A,Stem category-A,Stem subcategory-A,Stem translation-A,Secondary stem-A,Stem Source-A,Component occurs in stem (orig. orth)-B,Component occurs in stem (proj. orth)-B,Stem UR-B,Stem category-B,Stem subcategory-B,Stem translation-B,Secondary stem-B,Stem Source-B,Component occurs in stem (orig. orth)-C,Component occurs in stem (proj. orth)-C,Stem UR-C,Stem category-C,Stem subcategory-C,Stem translation-C,Secondary stem-C,Stem Source-C,Component occurs in stem (orig. orth)-D,Component occurs in stem (proj. orth)-D,Stem UR-D,Stem category-D,Stem subcategory-D,Stem translation-D,Secondary stem-D,Stem Source-D,Formative/component occurs in what component(s)-A,Formative/component occurs in what component(s)-B,Formative/component occurs in what component(s)-C,Formative/component occurs in what component(s)-D,Contains component (enter)-A,Contains formative (enter)-A,Contains formative (enter)-B,Deverbal (y/n),Deverbal from,Comments,Speaker,1st check done,2nd check done
106,Bloomfield,LB1946,0112,alg,,algo1256,*-akim,PA:1,,,,,,NG,,final,TA,,,,,,,,,*-akint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not defined but appears to mean 'count',,MAM
107,Bloomfield,LB1946,0112,alg,,algo1256,*-akint,PA:1,,,,,,NG,,final,TI,,,,,,,,*-akim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not defined but appears to mean 'count',,MAM
108,Goddard,IG1990a,0463,alg,,algo1256,*-akw-,PA:6,,,,,,NG,,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""there may also be influence from noun finals ending in PA *-akw-"" - so this may not be a N final itself.",,MAM
109,Bloomfield,LB1946,0117,alg,,algo1256,*-alakačkw-,PA:1,,,,,,palate,,medial,Dep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
111,Goddard,IG1980,0147,alg,,algo1256,*-aLo·min-,PA:2,,,,,,grain,grain,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
112,Goddard,IG1980,0147,alg,,algo1256,*-aLo·min-,PA:2,,,,,,grain,grain,final,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
113,Bloomfield,LB1946,0113,alg,,algo1256,*-am,PA:1,,,,,,"by mouth, eat, bite","bite, eat, mouth, MANNER",final,TA,,,,,,,,,*-ant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
116,Goddard,IG1965,0212,alg,,algo1256,*-am-,PA:6,,,,,,suffer pain,suffer (pain),prefinal
118,Bloomfield,LB1946,0115,alg,,algo1256,*-amaw,PA:1,,,,,,double-goal verb,DITRANSITIVE,final,TA,,,Y,TI,,,,,,,,,,wiintamaw-,,,V,TA,"name, tell",,LB1946;0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MAM
120,Aubin,GA1975b,0010,alg,,algo1256,*-ame:kw-,PA:4,,,,,,fish,fish,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sb67b.56
121,Aubin,GA1975b,0010,alg,,algo1256,*-ame:kw-,PA:4,,,,,,fish,,final,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sb67b.56
122,Aubin,GA1975b,0010,alg,,algo1256,*-ame:w-,PA:4,,,,,,fish,fish,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sb67b.56
123,Aubin,GA1975a,0192,alg,,algo1256,*-ame·kw-,PA:2,,,,,,NG,,medial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Used in Narangasett qunnamáug-suck 'lampries'. GA switched orthographies and used colon for long vowel; we've used raised dot for consistency. Guessing that it's a medial.
124,Goddard,IG1965,0212,alg,,algo1256,*-amo,PA:6,,,,,,middle reflexive,,final
125,Aubin,GA1975b,0011,alg,,algo1256,*-amo,PA:4,,,,,,NG,,final,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,middle reflexive'; Go65.212
126,Bloomfield,LB1946,0114,alg,,algo1256,*-amw,PA:1,,,,,,eat,eat,final,TA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,*amweewa 'he eats him',Final not defined but must mean 'eat'.,,MAM
